title,episodes,country,premiere_year,final_year,seasons,Original Channel,technique,final_year_filled,run_years,era,title_clean,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,year_diff,rating_norm,seasons_norm,votes_norm,success_score,is_successful,toy_products,avg_stars,total_reviews,bought_last_month,match_reliable,has_merch,imdb_norm,merch_norm,reviews_norm,franchise_score,is_franchise,netflix_popularity,netflix_vote_avg,netflix_vote_count,netflix_duration,on_netflix
The Simpsons,722,United States,1989.0,,33.0,Fox,Traditional,2023.0,34.0,Golden Age (85-96),the simpsons,tt0096697,tvSeries,The Simpsons,The Simpsons,0.0,1989.0,,22.0,"Animation,Comedy",8.6,468353.0,0.0,0.911392405063291,1.0,0.6749712483822712,0.8832997741208841,1,10.0,4.43,0.0,450.0,True,1,0.911392405063291,0.0092687950566426,0.0,0.1873763182938116,1,0.0,,,,0
South Park,308,United States,1997.0,,23.0,Comedy Central,"Cutout animation (""Cartman Gets an Anal Probe""), CGI (""Weight Gain 4000"" onwards)",2023.0,26.0,Modern (97-09),south park,tt0121955,tvSeries,South Park,South Park,0.0,1997.0,,22.0,"Animation,Comedy",8.7,443748.0,0.0,0.924050632911392,0.6875,0.6395109198500016,0.7701229831270572,1,6.0,3.93,0.0,250.0,True,1,0.924050632911392,0.0051493305870236,0.0,0.1876422584051414,1,0.0,,,,0
Arthur,246,Coproduction,1996.0,2022.0,23.0,PBS Kids,"Traditional, later Flash",2022.0,26.0,Golden Age (85-96),arthur,tt0169414,tvSeries,Arthur,Arthur,0.0,1996.0,2022.0,30.0,"Action,Adventure,Animation",7.4,17678.0,0.0,0.7594936708860759,0.6875,0.0254657185598538,0.5507888979943938,1,0.0,,,0.0,,0,0.7594936708860759,0.0,0.0,0.1518987341772152,0,0.0,,,,0
Harry and His Bucket Full of Dinosaurs,104,Coproduction,2005.0,2008.0,22.0,"Teletoon (Canada), Treehouse TV (Canada), Discovery Kids (Latin American)",Traditional,2008.0,3.0,Modern (97-09),harry and his bucket full of dinosaurs,tt0493094,tvSeries,Harry and His Bucket Full of Dinosaurs,Harry and His Bucket Full of Dinosaurs,0.0,2005.0,2015.0,11.0,"Adventure,Animation,Family",6.1,409.0,0.0,0.5949367088607593,0.65625,0.0005779147222694,0.4678066622248711,1,0.0,,,0.0,,0,0.5949367088607593,0.0,0.0,0.1189873417721518,0,0.0,,,,0
Family Guy,371,United States,1999.0,2003.0,20.0,Fox,Traditional (seasons 1–7); Toon Boom Harmony (season 8 onward),2003.0,4.0,Modern (97-09),family guy,tt0182576,tvSeries,Family Guy,Family Guy,0.0,1999.0,,22.0,"Animation,Comedy",8.1,388463.0,0.0,0.8481012658227846,0.59375,0.5598350709206571,0.687011774059278,1,0.0,,,0.0,,0,0.8481012658227846,0.0,0.0,0.1696202531645569,1,0.0,,,,0
Om Nom Stories,181,Coproduction,2011.0,,19.0,YouTube,"Flash, Live-Action (seasons 1–2)",2023.0,12.0,Streaming Era (2010+),om nom stories,tt4643420,tvSeries,Om Nom Stories,Om Nom Stories,0.0,2011.0,,3.0,"Action,Adventure,Animation",6.0,191.0,0.0,0.5822784810126581,0.5625,0.0002637366438287,0.4298523265660204,1,0.0,,,0.0,,0,0.5822784810126581,0.0,0.0,0.1164556962025316,0,0.0,,,,0
American Dad!,321,United States,2005.0,,18.0,"Fox (2005–2014), TBS (2014–present)","Traditional (seasons 1–3), Flash (season 4-present)",2023.0,18.0,Modern (97-09),american dad!,tt0397306,tvSeries,American Dad!,American Dad!,0.0,2005.0,,22.0,"Animation,Comedy",7.4,144314.0,0.0,0.7594936708860759,0.53125,0.2079714760893188,0.5417278373767601,1,0.0,,,0.0,,0,0.7594936708860759,0.0,0.0,0.1518987341772152,0,0.0,,,,0
SpongeBob SquarePants,275,United States,1999.0,2021.0,13.0,Nickelodeon,Traditional,2021.0,22.0,Modern (97-09),spongebob squarepants,tt0206512,tvSeries,SpongeBob SquarePants,SpongeBob SquarePants,0.0,1999.0,,23.0,"Animation,Comedy,Family",8.2,125507.0,0.0,0.8607594936708859,0.375,0.1808671314964965,0.5207705803424785,1,32.0,4.58,711.0,2200.0,True,1,0.8607594936708859,0.0453141091658084,0.0061530739407366,0.198612927260556,1,0.0,,,,0
Squidbillies,132,United States,2005.0,2021.0,13.0,Adult Swim,Traditional,2021.0,16.0,Modern (97-09),squidbillies,tt0457146,tvSeries,Squidbillies,Squidbillies,0.0,2005.0,2021.0,11.0,"Animation,Comedy",6.6,7906.0,0.0,0.6582278481012657,0.375,0.01138247001617,0.3973867567445487,1,0.0,,,0.0,,0,0.6582278481012657,0.0,0.0,0.1316455696202531,0,0.0,,,,0
King of the Hill,259,United States,1997.0,2010.0,13.0,Fox,Traditional,2010.0,13.0,Modern (97-09),king of the hill,tt0118375,tvSeries,King of the Hill,King of the Hill,0.0,1997.0,,30.0,"Animation,Comedy,Drama",7.6,65692.0,0.0,0.7848101265822783,0.375,0.0946627197445069,0.468839730569038,1,29.0,4.27,351.0,2650.0,True,1,0.7848101265822783,0.054582904222451,0.0030375934644142,0.1877420210049073,1,0.0,,,,0
Bob's Burgers,218,United States,2011.0,,12.0,"Fox, FXX",Flash (season 1)/Traditional (other seasons),2023.0,12.0,Streaming Era (2010+),bob's burgers,tt1561755,tvSeries,Bob's Burgers,Bob's Burgers,0.0,2011.0,,22.0,"Animation,Comedy",8.2,102294.0,0.0,0.8607594936708859,0.34375,0.1474129308779403,0.5014695301878395,1,3.0,4.33,0.0,100.0,True,1,0.8607594936708859,0.0020597322348094,0.0,0.1732847514633224,1,0.0,,,,0
Cyberchase,126,Coproduction,2002.0,,12.0,PBS Kids,"Traditional (Season 1–5), Flash (Season 6–present)",2023.0,21.0,Modern (97-09),cyberchase,tt0309141,tvSeries,Cyberchase,Cyberchase,0.0,2002.0,,30.0,"Adventure,Animation,Comedy",6.9,3342.0,0.0,0.6962025316455696,0.34375,0.004804906942759,0.3999947393939176,1,0.0,,,0.0,,0,0.6962025316455696,0.0,0.0,0.1392405063291139,0,0.0,,,,0
Off the Air,43,United States,2011.0,,12.0,Adult Swim,"Traditional, Flash, CGI, Live-action, Stop Motion",2023.0,12.0,Streaming Era (2010+),off the air,tt2289131,tvSeries,Off the Air,Off the Air,0.0,2011.0,,11.0,"Animation,Comedy,Horror",8.4,1145.0,0.0,0.8860759493670886,0.34375,0.0016386260329685,0.4751525362550776,1,0.0,,,0.0,,0,0.8860759493670886,0.0,0.0,0.1772151898734177,1,56.573,8.19,21.0,1 Seasons,1
Aqua Teen Hunger Force,139,United States,2000.0,2015.0,11.0,Adult Swim,Flash/Traditional,2015.0,15.0,Modern (97-09),aqua teen hunger force,tt0297494,tvSeries,Aqua Teen Hunger Force,Aqua Teen Hunger Force,0.0,2000.0,2023.0,15.0,"Animation,Comedy",7.7,28403.0,0.0,0.7974683544303797,0.3125,0.0409224153088312,0.4385929455993597,1,0.0,,,0.0,,0,0.7974683544303797,0.0,0.0,0.1594936708860759,1,0.0,,,,0
Space Ghost Coast to Coast,110,United States,1994.0,2004.0,11.0,"Cartoon Network, Adult Swim","Traditional (1994–1996), Flash (1997–2008)",2004.0,10.0,Golden Age (85-96),space ghost coast to coast,tt0108937,tvSeries,Space Ghost Coast to Coast,Space Ghost Coast to Coast,0.0,1993.0,2012.0,15.0,"Animation,Comedy,Sci-Fi",7.9,8336.0,1.0,0.8227848101265822,0.3125,0.0120021790699752,0.4414894688181267,1,0.0,,,0.0,,0,0.8227848101265822,0.0,0.0,0.1645569620253164,1,0.0,,,,0
Fireman Sam,200,United Kingdom,1987.0,,11.0,"CBBC, Channel 5",Stop-motion,2023.0,36.0,Golden Age (85-96),fireman sam,tt0329829,tvSeries,Fireman Sam,Fireman Sam,0.0,1987.0,2025.0,10.0,"Animation,Family",6.0,2619.0,0.0,0.5822784810126581,0.3125,0.0037629310220587,0.3432271251605779,1,2.0,4.3,0.0,50.0,True,1,0.5822784810126581,0.0010298661174047,0.0,0.1170221225671042,0,0.0,,,,0
Adventure Time,283,United States,2010.0,2018.0,10.0,Cartoon Network,Traditional,2018.0,8.0,Streaming Era (2010+),adventure time,tt1305826,tvSeries,Adventure Time,Adventure Time,0.0,2010.0,2018.0,23.0,"Action,Adventure,Animation",8.7,132952.0,0.0,0.924050632911392,0.28125,0.191596745230402,0.5159569394721574,1,7.0,4.59,10568.0,1400.0,True,1,0.924050632911392,0.0288362512873326,0.0914566602049293,0.2235342298415437,1,302.054,8.5,2826.0,1 Seasons,1
Spirit Riding Free,78,United States,2017.0,2020.0,10.0,Netflix,CGI,2020.0,3.0,Streaming Era (2010+),spirit riding free,tt6710836,tvSeries,Spirit Riding Free,Spirit Riding Free,0.0,2017.0,2020.0,23.0,"Action,Adventure,Animation",6.5,1358.0,0.0,0.6455696202531644,0.28125,0.0019455981921789,0.3571517476493105,1,5.0,4.52,289.0,100.0,True,1,0.6455696202531644,0.0020597322348094,0.0025010384934921,0.1308720364031511,0,0.0,,,,0
Teenage Mutant Ninja Turtles,193,Coproduction,1987.0,1996.0,10.0,"Syndication, CBS",Traditional,1996.0,9.0,Golden Age (85-96),teenage mutant ninja turtles,tt0131613,tvSeries,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,0.0,1987.0,1996.0,23.0,"Action,Adventure,Animation",7.9,40665.0,0.0,0.8227848101265822,0.28125,0.0585942116292006,0.442199976957933,1,142.0,4.09,2397.0,36300.0,True,1,0.8227848101265822,0.7476828012358393,0.0207439075048463,0.5809684795812396,1,135.205,8.313,705.0,1 Seasons,1
