title,episodes,country,premiere_year,final_year,seasons,Original Channel,technique,final_year_filled,run_years,title_clean,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,year_diff,rating_norm,seasons_norm,votes_norm,success_score,is_successful,toy_products,avg_stars,total_reviews,bought_last_month,match_reliable,has_merch,imdb_norm,merch_norm,reviews_norm,franchise_score,is_franchise,netflix_popularity,netflix_vote_avg,netflix_vote_count,netflix_duration,on_netflix,is_franchise_final,theme,yt_has_content,yt_top10_total_views,yt_top10_avg_views,yt_video_count,years_since_premiere,log_votes_per_year,genre_animation,genre_family,genre_comedy,genre_adventure,genre_action,on_streaming,netflix_pop_filled,log_yt_views,title_has_high_animal,title_has_hero_keyword,title_word_count,title_has_character,country_grouped_Australia,country_grouped_Brazil,country_grouped_Canada,country_grouped_Coproduction,country_grouped_France,country_grouped_Germany,country_grouped_Other,country_grouped_South Korea,country_grouped_Spain,country_grouped_United Kingdom,country_grouped_United States,technique_grouped_CGI,technique_grouped_Flash,technique_grouped_Flash/Traditional,technique_grouped_Other,technique_grouped_Stop Motion,technique_grouped_Stop-motion,technique_grouped_Toon Boom Harmony,technique_grouped_Traditional,technique_grouped_Traditional/Flash,era_Golden Age (85-96),era_Modern (97-09),era_Streaming Era (2010+),dash_prob
The Simpsons,722,United States,1989.0,,33.0,Fox,Traditional,2023.0,34.0,the simpsons,tt0096697,tvSeries,The Simpsons,The Simpsons,0.0,1989.0,,22.0,"Animation,Comedy",8.6,468353.0,0.0,0.911392405063291,1.0,0.6749712483822712,0.8832997741208841,1,10.0,4.43,0.0,450.0,True,1,0.911392405063291,0.0092687950566426,0.0,0.1873763182938116,1,0.0,,,,0,1,,1,1288502682,128850268,10,35.0,0.37305656283491817,1,0,1,0,0,0,0.0,20.976746670320725,0,0,2,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.9791109
Arthur,246,Coproduction,1996.0,2022.0,23.0,PBS Kids,"Traditional, later Flash",2022.0,26.0,arthur,tt0169414,tvSeries,Arthur,Arthur,0.0,1996.0,2022.0,30.0,"Action,Adventure,Animation",7.4,17678.0,0.0,0.7594936708860759,0.6875,0.0254657185598538,0.5507888979943938,1,0.0,,,0.0,,0,0.7594936708860759,0.0,0.0,0.1518987341772152,0,0.0,,,,0,0,,1,657867316,65786731,10,28.0,0.34929045619664373,1,0,0,1,1,0,0.0,20.30451382305967,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.029570412
Harry and His Bucket Full of Dinosaurs,104,Coproduction,2005.0,2008.0,22.0,"Teletoon (Canada), Treehouse TV (Canada), Discovery Kids (Latin American)",Traditional,2008.0,3.0,harry and his bucket full of dinosaurs,tt0493094,tvSeries,Harry and His Bucket Full of Dinosaurs,Harry and His Bucket Full of Dinosaurs,0.0,2005.0,2015.0,11.0,"Adventure,Animation,Family",6.1,409.0,0.0,0.5949367088607593,0.65625,0.0005779147222694,0.4678066622248711,1,0.0,,,0.0,,0,0.5949367088607593,0.0,0.0,0.1189873417721518,0,0.0,,,,0,0,,1,219457997,21945799,10,19.0,0.3166398505104397,1,1,0,1,0,0,0.0,19.206671419093993,0,0,7,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.086420365
Om Nom Stories,181,Coproduction,2011.0,,19.0,YouTube,"Flash, Live-Action (seasons 1–2)",2023.0,12.0,om nom stories,tt4643420,tvSeries,Om Nom Stories,Om Nom Stories,0.0,2011.0,,3.0,"Action,Adventure,Animation",6.0,191.0,0.0,0.5822784810126581,0.5625,0.0002637366438287,0.4298523265660204,1,0.0,,,0.0,,0,0.5822784810126581,0.0,0.0,0.1164556962025316,0,0.0,,,,0,0,,1,3190462705,319046270,10,13.0,0.404422720925214,1,0,0,1,1,0,0.0,21.88343179212741,0,0,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.11516692
SpongeBob SquarePants,275,United States,1999.0,2021.0,13.0,Nickelodeon,Traditional,2021.0,22.0,spongebob squarepants,tt0206512,tvSeries,SpongeBob SquarePants,SpongeBob SquarePants,0.0,1999.0,,23.0,"Animation,Comedy,Family",8.2,125507.0,0.0,0.8607594936708859,0.375,0.1808671314964965,0.5207705803424785,1,32.0,4.58,711.0,2200.0,True,1,0.8607594936708859,0.0453141091658084,0.0061530739407366,0.198612927260556,1,0.0,,,,0,1,,1,2574405372,257440537,10,25.0,0.46960499122169075,1,1,1,0,0,0,0.0,21.668884421288467,0,0,2,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.98756367
Squidbillies,132,United States,2005.0,2021.0,13.0,Adult Swim,Traditional,2021.0,16.0,squidbillies,tt0457146,tvSeries,Squidbillies,Squidbillies,0.0,2005.0,2021.0,11.0,"Animation,Comedy",6.6,7906.0,0.0,0.6582278481012657,0.375,0.01138247001617,0.3973867567445487,1,0.0,,,0.0,,0,0.6582278481012657,0.0,0.0,0.1316455696202531,0,0.0,,,,0,0,,1,8432301,843230,10,19.0,0.47239493274057515,1,0,1,0,0,0,0.0,15.947580365061183,0,0,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.019247526
King of the Hill,259,United States,1997.0,2010.0,13.0,Fox,Traditional,2010.0,13.0,king of the hill,tt0118375,tvSeries,King of the Hill,King of the Hill,0.0,1997.0,,30.0,"Animation,Comedy,Drama",7.6,65692.0,0.0,0.7848101265822783,0.375,0.0946627197445069,0.468839730569038,1,29.0,4.27,351.0,2650.0,True,1,0.7848101265822783,0.054582904222451,0.0030375934644142,0.1877420210049073,1,0.0,,,,0,1,,1,122383342,12238334,10,27.0,0.41084250569982683,1,0,1,0,0,0,0.0,18.622668832180572,0,0,4,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.9595426
Cyberchase,126,Coproduction,2002.0,,12.0,PBS Kids,"Traditional (Season 1–5), Flash (Season 6–present)",2023.0,21.0,cyberchase,tt0309141,tvSeries,Cyberchase,Cyberchase,0.0,2002.0,,30.0,"Adventure,Animation,Comedy",6.9,3342.0,0.0,0.6962025316455696,0.34375,0.004804906942759,0.3999947393939176,1,0.0,,,0.0,,0,0.6962025316455696,0.0,0.0,0.1392405063291139,0,0.0,,,,0,0,,1,4210304,421030,10,22.0,0.3688465402918226,1,0,1,1,0,0,0.0,15.253045649590259,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.010824951
Off the Air,43,United States,2011.0,,12.0,Adult Swim,"Traditional, Flash, CGI, Live-action, Stop Motion",2023.0,12.0,off the air,tt2289131,tvSeries,Off the Air,Off the Air,0.0,2011.0,,11.0,"Animation,Comedy,Horror",8.4,1145.0,0.0,0.8860759493670886,0.34375,0.0016386260329685,0.4751525362550776,1,0.0,,,0.0,,0,0.8860759493670886,0.0,0.0,0.1772151898734177,1,56.573,8.19,21.0,1 Seasons,1,0,,1,439269176,43926917,10,13.0,0.5418486844057451,1,0,1,0,0,1,56.573,19.900622942587297,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0.08708343
Aqua Teen Hunger Force,139,United States,2000.0,2015.0,11.0,Adult Swim,Flash/Traditional,2015.0,15.0,aqua teen hunger force,tt0297494,tvSeries,Aqua Teen Hunger Force,Aqua Teen Hunger Force,0.0,2000.0,2023.0,15.0,"Animation,Comedy",7.7,28403.0,0.0,0.7974683544303797,0.3125,0.0409224153088312,0.4385929455993597,1,0.0,,,0.0,,0,0.7974683544303797,0.0,0.0,0.1594936708860759,1,0.0,,,,0,0,,1,33970827,3397082,10,24.0,0.42726188580424934,1,0,1,0,0,0,0.0,17.341012714287757,0,1,4,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.1128428
