theme,toy_products,avg_stars,total_reviews,bought_last_month,total_shows,franchises,avg_rating,opportunity_ratio
unicorn,1093,4.3190301921317475,262351,199050,2.0,0.0,6.199999999999999,199050
dinosaur,1988,4.261770623742454,454005,316200,11.0,1.0,7.009090909090909,158100
shark,343,4.190962099125365,101448,59200,0.0,0.0,,59200
cat,829,4.283232810615199,78717,113550,11.0,1.0,7.0181818181818185,56775
dog,1310,4.321374045801527,365748,244850,16.0,4.0,6.8,48970
superhero,961,4.331321540062435,101075,133700,11.0,2.0,6.781818181818181,44566
turtle,204,4.090686274509804,35747,37650,1.0,0.0,5.1,37650
bee,238,4.342436974789916,24367,32950,1.0,0.0,8.1,32950
frog,194,4.018556701030928,27608,27900,0.0,0.0,,27900
duck,307,4.119218241042345,18904,27900,5.0,0.0,7.12,27900
monkey,274,4.043065693430656,17851,25650,4.0,0.0,6.825,25650
panda,181,4.383977900552487,9858,23500,3.0,0.0,6.833333333333333,23500
bear,751,4.261651131824235,74472,68000,10.0,2.0,6.92,22666
dragon,449,4.3452115812917596,7396,43000,11.0,1.0,6.945454545454546,21500
elephant,210,4.418095238095238,65165,20250,2.0,0.0,6.45,20250
rabbit,363,4.4986225895316805,49346,36350,5.0,1.0,7.12,18175
pig,305,4.161967213114754,56136,43150,5.0,2.0,6.18,14383
fox,123,4.351219512195122,2193,11600,1.0,0.0,8.1,11600
fish,185,4.172972972972973,40879,21550,3.0,1.0,6.166666666666667,10775
horse,549,4.46120218579235,80209,61200,8.0,5.0,6.225,10200
wolf,93,4.08494623655914,754,9950,4.0,0.0,6.825,9950
owl,123,4.271544715447154,3028,10400,1.0,1.0,8.6,5200
lion,126,4.31031746031746,6400,10300,2.0,1.0,6.4,5150
